* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Sep 27 2020 03:05:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, D9_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C2, PIO, BUFFER_DATA_OUT[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C3, PIO, GPIO3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C4, PIO, not used, , , , , , topBank
C5, PIO, BUFFER_DATA_IN[9], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C6, PIO, BUFFER_DATA_IN[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C7, PIO, BUFFER_DATA_IN[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C8, PIO_GBIN, D11_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C9, PIO, BUFFER_DATA_IN[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C10, PIO, not used, , , , , , topBank
C11, PIO, not used, , , , , , topBank
C12, PIO, not used, , , , , , topBank
C13, PIO, A9, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C14, PIO, A10, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
C15, VCCIO_1, not used, , , , , , rightBank
C16, PIO, A11, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
D1, PIO, LB, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
D2, PIO, BUFFER_DATA_OUT[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
D3, PIO, BUFFER_DATA_IN[14], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D4, PIO, GPIO11, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
D5, PIO, BUFFER_DATA_IN[15], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D6, PIO, D8_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D7, PIO, not used, , , , , , topBank
D8, PIO, D10_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D9, PIO, D1_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D10, PIO, BUFFER_DATA_IN[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D11, PIO, not used, , , , , , topBank
D12, VPP_DIRECT, not used, , , , , , UnknownBank
D13, PIO, A5, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
D14, PIO, A6, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
D15, PIO, A7, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
D16, PIO, A8, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
E1, VCCIO_3, not used, , , , , , leftBank
E2, PIO, BUFFER_DATA_OUT[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
E3, PIO, UB, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
E4, PIO, D6_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
E5, PIO, D5_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
E6, PIO, D15_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
E7, AGND_TOP, not used, , , , , , UnknownBank
E8, AVDD_TOP, not used, , , , , , UnknownBank
E9, PIO, BUFFER_DATA_IN[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
E10, PIO, not used, , , , , , topBank
E11, PIO, not used, , , , , , topBank
E12, VPP_PUMP, not used, , , , , , UnknownBank
E13, PIO, A2, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
E14, PIO, A3, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
E15, GND, not used, , , , , , UnknownBank
E16, PIO, A4, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
F1, PIO, B_LB, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
F2, PIO, B_WR, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
F3, PIO, BUFFER_DATA_OUT[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
F4, PIO, BUFFER_DATA_OUT[12], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
F5, PIO, D14_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
F6, VCC, not used, , , , , , UnknownBank
F7, PIO_GBIN, BUFFER_DATA_IN[12], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
F8, VCCIO_0, not used, , , , , , topBank
F9, PIO, D12_in, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
F10, VCC, not used, , , , , , UnknownBank
F11, PIO, not used, , , , , , rightBank
F12, PIO, not used, , , , , , rightBank
F13, PIO, not used, , , , , , rightBank
F14, PIO, not used, , , , , , rightBank
F15, PIO, A0, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
F16, PIO, A1, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
G1, PIO_GBIN, BUFFER_ADDRESS[1], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G2, PIO, BUFFER_DATA_OUT[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G3, PIO, BUFFER_DATA_OUT[14], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G4, PIO, OE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G5, PIO, BUFFER_DATA_OUT[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
G6, VCCIO_3, not used, , , , , , leftBank
G7, GND, not used, , , , , , UnknownBank
G8, GND, not used, , , , , , UnknownBank
G9, GND, not used, , , , , , UnknownBank
G10, PIO, not used, , , , , , rightBank
G11, PIO, not used, , , , , , rightBank
G12, PIO, not used, , , , , , rightBank
G13, PIO, not used, , , , , , rightBank
G14, PIO, not used, , , , , , rightBank
G15, PIO, not used, , , , , , rightBank
G16, PIO, not used, , , , , , rightBank
H1, PIO, BUFFER_ADDRESS[11], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
H2, PIO, BUFFER_DATA_OUT[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
H3, PIO, not used, , , , , , leftBank
H4, PIO, not used, , , , , , leftBank
H5, PIO, WR, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
H6, PIO, B_UB, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
H7, GND, not used, , , , , , UnknownBank
H8, GND, not used, , , , , , UnknownBank
H9, GND, not used, , , , , , UnknownBank
H10, VCCIO_1, not used, , , , , , rightBank
H11, PIO_GBIN, not used, , , , , , rightBank
H12, PIO, not used, , , , , , rightBank
H13, PIO, not used, , , , , , rightBank
H14, PIO, not used, , , , , , rightBank
H15, VCCIO_1, not used, , , , , , rightBank
H16, PIO_GBIN, not used, , , , , , rightBank
J1, PIO, BUFFER_ADDRESS[13], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J2, PIO, BUFFER_ADDRESS[12], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J3, PIO_GBIN, BUFFER_ADDRESS[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J4, PIO, BUFFER_DATA_OUT[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J5, PIO, BUFFER_ADDRESS[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
J6, VCCIO_3, not used, , , , , , leftBank
J7, GND, not used, , , , , , UnknownBank
J8, GND, not used, , , , , , UnknownBank
J9, GND, not used, , , , , , UnknownBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
J12, PIO, not used, , , , , , rightBank
J13, PIO, not used, , , , , , rightBank
J14, PIO, not used, , , , , , rightBank
J15, PIO, not used, , , , , , rightBank
J16, PIO, not used, , , , , , rightBank
K1, PIO, BUFFER_ADDRESS[14], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K2, GND, not used, , , , , , UnknownBank
K3, PIO, BUFFER_ADDRESS[15], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K4, PIO, BUFFER_DATA_OUT[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K5, PIO, CE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
K6, VCC, not used, , , , , , UnknownBank
K7, GND, not used, , , , , , UnknownBank
K8, VCCIO_2, not used, , , , , , bottomBank
K9, PIO_GBIN, not used, , , , , , bottomBank
K10, VCC, not used, , , , , , UnknownBank
K11, PIO, not used, , , , , , bottomBank
K12, PIO, D11, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
K13, PIO, D12, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
K14, PIO, D13, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
K15, PIO, D14, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
K16, PIO, D15, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
L1, PIO, BUFFER_DATA_OUT[13], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
L2, VCC, not used, , , , , , UnknownBank
L3, PIO, BUFFER_DATA_OUT[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
L4, PIO, BUFFER_DATA_OUT[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
L5, PIO, BUFFER_ADDRESS[5], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
L6, PIO, not used, , , , , , leftBank
L7, PIO, BUFFER_ADDRESS[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
L8, AVDD_BOT, not used, , , , , , UnknownBank
L9, PIO, not used, , , , , , bottomBank
L10, PIO, not used, , , , , , bottomBank
L11, PIO, not used, , , , , , bottomBank
L12, PIO, D7, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
L13, PIO, D8, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
L14, PIO, D9, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
L15, GND, not used, , , , , , UnknownBank
L16, PIO, D10, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
M1, PIO, not used, , , , , , leftBank
M2, PIO, B_CE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
M3, PIO, BUFFER_ADDRESS[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
M4, PIO, BUFFER_ADDRESS[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
M5, PIO, B_OE, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
M6, PIO, BUFFER_ADDRESS[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
M7, PIO, not used, , , , , , bottomBank
M8, PIO, not used, , , , , , bottomBank
M9, PIO, not used, , , , , , bottomBank
M10, CDONE, not used, , , , , , bottomBank
M11, PIO, not used, , , , , , bottomBank
M12, PIO, not used, , , , , , bottomBank
M13, PIO, D3, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
M14, PIO, D4, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
M15, PIO, D5, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
M16, PIO, D6, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
N1, VCCIO_3, not used, , , , , , leftBank
N2, PIO, BUFFER_ADDRESS[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
N3, PIO, BUFFER_ADDRESS[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
N4, PIO, BUFFER_DATA_OUT[11], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
N5, PIO, not used, , , , , , bottomBank
N6, PIO, not used, , , , , , bottomBank
N7, PIO, not used, , , , , , bottomBank
N8, AGND_BOT, not used, , , , , , UnknownBank
N9, PIO, not used, , , , , , bottomBank
N10, PIO, not used, , , , , , bottomBank
N11, CRESET_B, not used, , , , , , bottomBank
N12, PIO, not used, , , , , , bottomBank
N13, VDDIO_SPI, not used, , , , , , bottomBank
N14, TRST_B, not used, , , , , , rightBank
N15, VCCIO_1, not used, , , , , , rightBank
N16, PIO, D2, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
P1, PIO, BUFFER_ADDRESS[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
P2, PIO, not used, , , , , , leftBank
P3, VCCIO_2, not used, , , , , , bottomBank
P4, PIO, not used, , , , , , bottomBank
P5, PIO, not used, , , , , , bottomBank
P6, PIO, not used, , , , , , bottomBank
P7, PIO, not used, , , , , , bottomBank
P8, PIO, not used, , , , , , bottomBank
P9, PIO, not used, , , , , , bottomBank
P10, PIO, not used, , , , , , bottomBank
P11, SPI_SI, not used, , , , , , bottomBank
P12, SPI_SO, not used, , , , , , bottomBank
P13, PIO, not used, , , , , , bottomBank
P14, PIO, not used, , , , , , rightBank
P15, PIO, D0, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
P16, PIO, D1, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, rightBank
R1, PIO, BUFFER_DATA_OUT[15], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
R2, PIO, not used, , , , , , bottomBank
R3, PIO, not used, , , , , , bottomBank
R4, PIO, not used, , , , , , bottomBank
R5, PIO, not used, , , , , , bottomBank
R6, PIO, not used, , , , , , bottomBank
R7, GND, not used, , , , , , UnknownBank
R8, VCCIO_2, not used, , , , , , bottomBank
R9, PIO_GBIN, CLK, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, bottomBank
R10, PIO, not used, , , , , , bottomBank
R11, SPI_SCK, not used, , , , , , bottomBank
R12, SPI_SS_B, not used, , , , , , bottomBank
R13, VCCIO_2, not used, , , , , , bottomBank
R14, PIO, not used, , , , , , rightBank
R15, PIO, not used, , , , , , rightBank
R16, PIO, not used, , , , , , bottomBank
T1, PIO, not used, , , , , , bottomBank
T2, PIO, not used, , , , , , bottomBank
T3, PIO, not used, , , , , , bottomBank
T4, GND, not used, , , , , , UnknownBank
T5, PIO, not used, , , , , , bottomBank
T6, PIO, not used, , , , , , bottomBank
T7, PIO, not used, , , , , , bottomBank
T8, PIO, not used, , , , , , bottomBank
T9, PIO, not used, , , , , , bottomBank
T10, PIO, not used, , , , , , bottomBank
T11, PIO, not used, , , , , , bottomBank
T12, GND, not used, , , , , , UnknownBank
T13, PIO, TX, Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, bottomBank
T14, PIO, not used, , , , , , bottomBank
T15, PIO, not used, , , , , , bottomBank
T16, PIO, not used, , , , , , bottomBank
Total Number of Used Pins, 111
